phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6
1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,0.0,1.0,-0.0,0.0,-0.0
-0.0,0.0,-0.0,-0.0,1.0,0.0,-0.0
-0.0,0.0,-0.0,0.0,0.0,1.0,-0.0
-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0
