kernel,loo_min,loo_max,loo_range,loo_std
gaussian,0.5307428224989358,0.5905878069645885,0.05984498446565267,0.019636380391508876
epanechnikov,0.5321753812260918,0.5608466773736932,0.028671296147601444,0.009627019814379275
triangular,0.5319912720213806,0.5708915659212193,0.03890029389983862,0.013106620133995264
quartic,0.5313826078539498,0.5844765412746521,0.053093933420702344,0.017336654599747422
