dataset,model,kernel,param,loo_rmse,test_rmse,test_mae,test_r2
diabetes,nw_fixed,epanechnikov,2.928,58.888341648185346,57.983604579883725,47.58164168920454,0.45828549194492496
diabetes,nw_variable,quartic,40.0,57.62162745629155,57.60987774709226,46.552803431221044,0.46524610793155796
diabetes,lowess,triangular,20.0,58.21862336006907,58.03060535938284,46.486020772300705,0.4574069220969914
california_housing,nw_fixed,gaussian,0.5421,0.6910531525601156,0.7828009362398834,0.5624591175727942,0.5899417613380492
california_housing,nw_variable,quartic,20.0,0.6489964111577315,0.725447090456386,0.4995577398458425,0.6478283796418922
california_housing,lowess,quartic,20.0,0.697365472826278,0.7657033554593285,0.5087721132785032,0.6076587516122561
