basis,m,lambda,train_rmse,test_rmse,test_r2,test_mae
Тригонометрический,3,0.0,0.09710889474276028,0.11094266050604534,0.9918094609333603,0.0746536168471352
Тригонометрический,3,0.0001,0.0971088947703573,0.11094275128737006,0.9918094475291696,0.07465369293367141
Тригонометрический,3,0.001,0.09710889750235341,0.11094357051641636,0.9918093265665435,0.07465437769420374
Тригонометрический,3,0.01,0.09710917059762203,0.11095198021274401,0.9918080847877434,0.07466122348907205
Тригонометрический,3,0.1,0.09713637272357947,0.11105770649815581,0.9917924651761166,0.0747514566793015
Тригонометрический,3,1.0,0.09972172873266459,0.11414984430788405,0.9913290640103519,0.07809415311568292
Тригонометрический,3,10.0,0.21536111242386954,0.22738671577843877,0.9655931026841507,0.18512251415946882
