kernel,param,loo_rmse,test_rmse,test_mae,test_r2
gaussian,5,0.5296899643912164,0.24147434601513515,0.17567902232490507,0.9057351124387388
epanechnikov,0.25,0.5321753812260918,0.21182976877298973,0.1667774818384336,0.927459266767485
triangular,0.25,0.5319912720213806,0.22685194958692115,0.1747402975868995,0.9168058117181248
quartic,0.25,0.5313826078539498,0.232213527646596,0.17809095001087327,0.9128267999451958
